,LossNum,cost,iteration,mode,run
197,calc_loss_8,6.91258430480957,7,on-policy,4
198,calc_loss_8,6.912181854248047,8,on-policy,4
199,calc_loss_8,6.912144184112549,9,on-policy,4
200,calc_loss_1_off,14.032474517822266,0,off-policy,0
201,calc_loss_1_off,9.868425369262695,1,off-policy,0
202,calc_loss_1_off,7.363633632659912,2,off-policy,0
203,calc_loss_1_off,7.006923198699951,3,off-policy,0
204,calc_loss_1_off,6.956534385681152,4,off-policy,0
205,calc_loss_1_off,6.947396755218506,5,off-policy,0
206,calc_loss_1_off,6.93936014175415,6,off-policy,0
207,calc_loss_1_off,6.936303615570068,7,off-policy,0
208,calc_loss_1_off,6.933626651763916,8,off-policy,0
209,calc_loss_1_off,6.934206485748291,9,off-policy,0
210,calc_loss_1_off,14.032474517822266,0,off-policy,1
211,calc_loss_1_off,10.331767082214355,1,off-policy,1
212,calc_loss_1_off,7.371227741241455,2,off-policy,1
213,calc_loss_1_off,6.999794006347656,3,off-policy,1
214,calc_loss_1_off,6.950930118560791,4,off-policy,1
215,calc_loss_1_off,6.9396843910217285,5,off-policy,1
216,calc_loss_1_off,6.932765960693359,6,off-policy,1
217,calc_loss_1_off,6.930704116821289,7,off-policy,1
218,calc_loss_1_off,6.930614948272705,8,off-policy,1
219,calc_loss_1_off,6.929302215576172,9,off-policy,1
220,calc_loss_1_off,14.032474517822266,0,off-policy,2
221,calc_loss_1_off,10.2259521484375,1,off-policy,2
222,calc_loss_1_off,7.430394172668457,2,off-policy,2
223,calc_loss_1_off,7.012905120849609,3,off-policy,2
224,calc_loss_1_off,6.959895610809326,4,off-policy,2
225,calc_loss_1_off,6.9448065757751465,5,off-policy,2
226,calc_loss_1_off,6.938148498535156,6,off-policy,2
227,calc_loss_1_off,6.937025547027588,7,off-policy,2
228,calc_loss_1_off,6.936465263366699,8,off-policy,2
229,calc_loss_1_off,6.935046195983887,9,off-policy,2
230,calc_loss_1_off,14.032474517822266,0,off-policy,3
231,calc_loss_1_off,10.220128059387207,1,off-policy,3
232,calc_loss_1_off,7.520727157592773,2,off-policy,3
233,calc_loss_1_off,7.053420066833496,3,off-policy,3
234,calc_loss_1_off,6.977190971374512,4,off-policy,3
235,calc_loss_1_off,6.959630489349365,5,off-policy,3
236,calc_loss_1_off,6.949952125549316,6,off-policy,3
237,calc_loss_1_off,6.947864055633545,7,off-policy,3
238,calc_loss_1_off,6.94639778137207,8,off-policy,3
239,calc_loss_1_off,6.944530963897705,9,off-policy,3
240,calc_loss_1_off,14.032474517822266,0,off-policy,4
241,calc_loss_1_off,10.36594295501709,1,off-policy,4
242,calc_loss_1_off,7.3975443840026855,2,off-policy,4
243,calc_loss_1_off,7.011127948760986,3,off-policy,4
244,calc_loss_1_off,6.95933723449707,4,off-policy,4
245,calc_loss_1_off,6.94727087020874,5,off-policy,4
246,calc_loss_1_off,6.937629699707031,6,off-policy,4
247,calc_loss_1_off,6.938071250915527,7,off-policy,4
248,calc_loss_1_off,6.936429500579834,8,off-policy,4
249,calc_loss_1_off,6.936399459838867,9,off-policy,4
250,calc_loss_2_off,14.032474517822266,0,off-policy,0
251,calc_loss_2_off,7.773281097412109,1,off-policy,0
252,calc_loss_2_off,6.958073139190674,2,off-policy,0
253,calc_loss_2_off,6.915602207183838,3,off-policy,0
254,calc_loss_2_off,6.910416126251221,4,off-policy,0
255,calc_loss_2_off,6.905106067657471,5,off-policy,0
256,calc_loss_2_off,6.904839992523193,6,off-policy,0
257,calc_loss_2_off,6.905709266662598,7,off-policy,0
258,calc_loss_2_off,6.908238410949707,8,off-policy,0
259,calc_loss_2_off,6.90691614151001,9,off-policy,0
260,calc_loss_2_off,14.032474517822266,0,off-policy,1
261,calc_loss_2_off,7.685705184936523,1,off-policy,1
262,calc_loss_2_off,6.945518493652344,2,off-policy,1
263,calc_loss_2_off,6.914012432098389,3,off-policy,1
264,calc_loss_2_off,6.905792236328125,4,off-policy,1
265,calc_loss_2_off,6.907825946807861,5,off-policy,1
266,calc_loss_2_off,6.904000759124756,6,off-policy,1
267,calc_loss_2_off,6.901015281677246,7,off-policy,1
268,calc_loss_2_off,6.90266752243042,8,off-policy,1
269,calc_loss_2_off,6.905945301055908,9,off-policy,1
270,calc_loss_2_off,14.032474517822266,0,off-policy,2
271,calc_loss_2_off,7.844302654266357,1,off-policy,2
272,calc_loss_2_off,6.951478958129883,2,off-policy,2
273,calc_loss_2_off,6.910542011260986,3,off-policy,2
274,calc_loss_2_off,6.908103942871094,4,off-policy,2
275,calc_loss_2_off,6.904190540313721,5,off-policy,2
276,calc_loss_2_off,6.904815673828125,6,off-policy,2
277,calc_loss_2_off,6.903653621673584,7,off-policy,2
278,calc_loss_2_off,6.9016947746276855,8,off-policy,2
279,calc_loss_2_off,6.90239143371582,9,off-policy,2
280,calc_loss_2_off,14.032474517822266,0,off-policy,3
281,calc_loss_2_off,7.937028408050537,1,off-policy,3
282,calc_loss_2_off,6.962324619293213,2,off-policy,3
283,calc_loss_2_off,6.915856838226318,3,off-policy,3
284,calc_loss_2_off,6.91063117980957,4,off-policy,3
285,calc_loss_2_off,6.909371376037598,5,off-policy,3
286,calc_loss_2_off,6.906394958496094,6,off-policy,3
287,calc_loss_2_off,6.904582977294922,7,off-policy,3
288,calc_loss_2_off,6.906440258026123,8,off-policy,3
289,calc_loss_2_off,6.903872966766357,9,off-policy,3
290,calc_loss_2_off,14.032474517822266,0,off-policy,4
291,calc_loss_2_off,7.731740474700928,1,off-policy,4
292,calc_loss_2_off,6.950810432434082,2,off-policy,4
293,calc_loss_2_off,6.9176025390625,3,off-policy,4
294,calc_loss_2_off,6.910740375518799,4,off-policy,4
295,calc_loss_2_off,6.904362201690674,5,off-policy,4
296,calc_loss_2_off,6.908339500427246,6,off-policy,4
297,calc_loss_2_off,6.905461311340332,7,off-policy,4
298,calc_loss_2_off,6.905354976654053,8,off-policy,4
299,calc_loss_2_off,6.906929016113281,9,off-policy,4
300,calc_loss_7_off,14.032474517822266,0,off-policy,0
301,calc_loss_7_off,7.050975322723389,1,off-policy,0
302,calc_loss_7_off,7.024791240692139,2,off-policy,0
303,calc_loss_7_off,7.00929069519043,3,off-policy,0
304,calc_loss_7_off,7.0059990882873535,4,off-policy,0
305,calc_loss_7_off,7.002609729766846,5,off-policy,0
306,calc_loss_7_off,7.00297737121582,6,off-policy,0
307,calc_loss_7_off,7.002011775970459,7,off-policy,0
308,calc_loss_7_off,7.001839637756348,8,off-policy,0
309,calc_loss_7_off,7.002065658569336,9,off-policy,0
310,calc_loss_7_off,14.032474517822266,0,off-policy,1
311,calc_loss_7_off,7.069321155548096,1,off-policy,1
312,calc_loss_7_off,7.023659706115723,2,off-policy,1
313,calc_loss_7_off,7.009072780609131,3,off-policy,1
314,calc_loss_7_off,7.005753517150879,4,off-policy,1
315,calc_loss_7_off,7.003939628601074,5,off-policy,1
316,calc_loss_7_off,7.005748271942139,6,off-policy,1
317,calc_loss_7_off,7.003937721252441,7,off-policy,1
318,calc_loss_7_off,7.00256872177124,8,off-policy,1
319,calc_loss_7_off,7.003243446350098,9,off-policy,1
320,calc_loss_7_off,14.032474517822266,0,off-policy,2
321,calc_loss_7_off,7.067778587341309,1,off-policy,2
322,calc_loss_7_off,7.024913311004639,2,off-policy,2
323,calc_loss_7_off,7.012019634246826,3,off-policy,2
324,calc_loss_7_off,7.007013320922852,4,off-policy,2
325,calc_loss_7_off,7.003684043884277,5,off-policy,2
326,calc_loss_7_off,7.0026373863220215,6,off-policy,2
327,calc_loss_7_off,7.002878189086914,7,off-policy,2
328,calc_loss_7_off,7.003680229187012,8,off-policy,2
329,calc_loss_7_off,7.002939224243164,9,off-policy,2
330,calc_loss_7_off,14.032474517822266,0,off-policy,3
331,calc_loss_7_off,7.0550432205200195,1,off-policy,3
332,calc_loss_7_off,7.024843692779541,2,off-policy,3
333,calc_loss_7_off,7.011492729187012,3,off-policy,3
334,calc_loss_7_off,7.004331111907959,4,off-policy,3
335,calc_loss_7_off,7.003035068511963,5,off-policy,3
336,calc_loss_7_off,7.000984191894531,6,off-policy,3
337,calc_loss_7_off,6.99776554107666,7,off-policy,3
338,calc_loss_7_off,7.002546310424805,8,off-policy,3
339,calc_loss_7_off,6.999645709991455,9,off-policy,3
340,calc_loss_7_off,14.032474517822266,0,off-policy,4
341,calc_loss_7_off,7.088473796844482,1,off-policy,4
342,calc_loss_7_off,7.03248405456543,2,off-policy,4
343,calc_loss_7_off,7.021940231323242,3,off-policy,4
344,calc_loss_7_off,7.0155487060546875,4,off-policy,4
345,calc_loss_7_off,7.013556957244873,5,off-policy,4
346,calc_loss_7_off,7.012137413024902,6,off-policy,4
347,calc_loss_7_off,7.012905120849609,7,off-policy,4
348,calc_loss_7_off,7.012820720672607,8,off-policy,4
349,calc_loss_7_off,7.014744758605957,9,off-policy,4
350,calc_loss_8_off,14.032474517822266,0,off-policy,0
351,calc_loss_8_off,8.947158813476562,1,off-policy,0
352,calc_loss_8_off,7.42182731628418,2,off-policy,0
353,calc_loss_8_off,7.110842704772949,3,off-policy,0
354,calc_loss_8_off,7.0404486656188965,4,off-policy,0
355,calc_loss_8_off,7.017339706420898,5,off-policy,0
356,calc_loss_8_off,7.003834247589111,6,off-policy,0
357,calc_loss_8_off,7.003098011016846,7,off-policy,0
358,calc_loss_8_off,7.000419616699219,8,off-policy,0
359,calc_loss_8_off,6.998226642608643,9,off-policy,0
360,calc_loss_8_off,14.032474517822266,0,off-policy,1
361,calc_loss_8_off,9.094255447387695,1,off-policy,1
362,calc_loss_8_off,7.429066181182861,2,off-policy,1
363,calc_loss_8_off,7.124000549316406,3,off-policy,1
364,calc_loss_8_off,7.048974990844727,4,off-policy,1
365,calc_loss_8_off,7.020641803741455,5,off-policy,1
366,calc_loss_8_off,7.011257171630859,6,off-policy,1
367,calc_loss_8_off,7.005202293395996,7,off-policy,1
368,calc_loss_8_off,7.002773761749268,8,off-policy,1
369,calc_loss_8_off,7.000726699829102,9,off-policy,1
370,calc_loss_8_off,14.032474517822266,0,off-policy,2
371,calc_loss_8_off,8.797286987304688,1,off-policy,2
372,calc_loss_8_off,7.410502910614014,2,off-policy,2
373,calc_loss_8_off,7.097517013549805,3,off-policy,2
374,calc_loss_8_off,7.036266803741455,4,off-policy,2
375,calc_loss_8_off,7.012998580932617,5,off-policy,2
376,calc_loss_8_off,7.004631042480469,6,off-policy,2
377,calc_loss_8_off,7.003504276275635,7,off-policy,2
378,calc_loss_8_off,6.996640682220459,8,off-policy,2
